Country,Country Code,Region,Region Code,City
Canada,CA,Alberta,AB,
Canada,CA,British Columbia,BC,
Canada,CA,Manitoba,MB,
Canada,CA,New Brunswick,NB,
Canada,CA,Newfoundland and Labrador,NL,
Canada,CA,Nova Scotia,NS,
Canada,CA,Northwest Territories,NT,
Canada,CA,Nunavut,NU,
Canada,CA,Ontario,ON,
Canada,CA,Prince Edward Island,PE,
Canada,CA,Quebec,QC,
Canada,CA,Saskatchewan,SK,
Canada,CA,Yukon,YT,
Australia,AU,Australian Capital Territory,AC,
Australia,AU,New South Wales,NS,
Australia,AU,Northern Territory,NT,
Australia,AU,Queensland,QL,
Australia,AU,South Australia,SA,
Australia,AU,Tasmania,TA,
Australia,AU,Victoria,VI,
Australia,AU,Western Australia,WA,
Spain,ES,Andalusia,AN,
Spain,ES,Aragon,AR,
Spain,ES,Asturias,AS,
Spain,ES,Cantabria,CB,
Spain,ES,Ceuta,CE,
Spain,ES,Castile and León,CL,
Spain,ES,Castilla–La Mancha,CM,
Spain,ES,Canary Islands,CN,
Spain,ES,Catalonia,CT,
Spain,ES,Extremadura,EX,
Spain,ES,Galicia,GA,
Spain,ES,Balearic Islands,IB,
Spain,ES,Region of Murcia,MC,
Spain,ES,Community of Madrid,MD,
Spain,ES,Melilla,ML,
Spain,ES,Navarre,NA,
Spain,ES,Basque Country,PV,
Spain,ES,La Rioja,RI,
Spain,ES,Valencian Community,VC,
France,FR,Auvergne-Rhône-Alpes,AR,Aix-les-Bains
France,FR,Auvergne-Rhône-Alpes,AR,Albertville
France,FR,Auvergne-Rhône-Alpes,AR,Alixan
France,FR,Auvergne-Rhône-Alpes,AR,Annecy
France,FR,Auvergne-Rhône-Alpes,AR,Annonay
France,FR,Auvergne-Rhône-Alpes,AR,Arnas
France,FR,Auvergne-Rhône-Alpes,AR,Aubière
France,FR,Auvergne-Rhône-Alpes,AR,Aurillac
France,FR,Auvergne-Rhône-Alpes,AR,Bonne
France,FR,Auvergne-Rhône-Alpes,AR,Bourg-lès-Valence
France,FR,Auvergne-Rhône-Alpes,AR,Bourgoin-Jallieu
France,FR,Auvergne-Rhône-Alpes,AR,Brignais
France,FR,Auvergne-Rhône-Alpes,AR,Caluire-et-Cuire
France,FR,Auvergne-Rhône-Alpes,AR,Chambéry
France,FR,Auvergne-Rhône-Alpes,AR,Champagne-au-Mont-d-Or
France,FR,Auvergne-Rhône-Alpes,AR,Chaponost
France,FR,Auvergne-Rhône-Alpes,AR,Charbonnières-les-Bains
France,FR,Auvergne-Rhône-Alpes,AR,Charlieu
France,FR,Auvergne-Rhône-Alpes,AR,Chassieu
France,FR,Auvergne-Rhône-Alpes,AR,Clermont-Ferrand
France,FR,Auvergne-Rhône-Alpes,AR,Craponne
France,FR,Auvergne-Rhône-Alpes,AR,Dardilly
France,FR,Auvergne-Rhône-Alpes,AR,Décines-Charpieu
France,FR,Auvergne-Rhône-Alpes,AR,Fillière
France,FR,Auvergne-Rhône-Alpes,AR,Froges
France,FR,Auvergne-Rhône-Alpes,AR,Grand-Aigueblanche
France,FR,Auvergne-Rhône-Alpes,AR,Grenoble
France,FR,Auvergne-Rhône-Alpes,AR,Issoire
France,FR,Auvergne-Rhône-Alpes,AR,Jaillans
France,FR,Auvergne-Rhône-Alpes,AR,La Roche-sur-Foron
France,FR,Auvergne-Rhône-Alpes,AR,Lathuile
France,FR,Auvergne-Rhône-Alpes,AR,Le Bourget-du-Lac
France,FR,Auvergne-Rhône-Alpes,AR,Limas
France,FR,Auvergne-Rhône-Alpes,AR,Limonest
France,FR,Auvergne-Rhône-Alpes,AR,Lissieu
France,FR,Auvergne-Rhône-Alpes,AR,Lyon
France,FR,Auvergne-Rhône-Alpes,AR,Miribel
France,FR,Auvergne-Rhône-Alpes,AR,Montluçon
France,FR,Auvergne-Rhône-Alpes,AR,Moutiers
France,FR,Auvergne-Rhône-Alpes,AR,Pierrelatte
France,FR,Auvergne-Rhône-Alpes,AR,Pringy
France,FR,Auvergne-Rhône-Alpes,AR,Prévessin-Moëns
France,FR,Auvergne-Rhône-Alpes,AR,Rillieux-la-Pape
France,FR,Auvergne-Rhône-Alpes,AR,Roanne
France,FR,Auvergne-Rhône-Alpes,AR,Romans-sur-Isère
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Beauzire
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Chamond
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Félix
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Genis-Pouilly
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Jean-de-Sixt
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Martin-d'Hères
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Pierre-en-Fauc
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Priest
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Quentin-Fallavier
France,FR,Auvergne-Rhône-Alpes,AR,Saint-Étienne
France,FR,Auvergne-Rhône-Alpes,AR,Tassin-la-Demi-Lune
France,FR,Auvergne-Rhône-Alpes,AR,Thonon-les-Bains
France,FR,Auvergne-Rhône-Alpes,AR,Thyez
France,FR,Auvergne-Rhône-Alpes,AR,Tournon
France,FR,Auvergne-Rhône-Alpes,AR,Tournon-sur-Rhône
France,FR,Auvergne-Rhône-Alpes,AR,Valence
France,FR,Auvergne-Rhône-Alpes,AR,Ville-la-Grand
France,FR,Auvergne-Rhône-Alpes,AR,Villefranche-sur-Saône
France,FR,Auvergne-Rhône-Alpes,AR,Vonnas
France,FR,Auvergne-Rhône-Alpes,AR,Vénissieux
France,FR,Auvergne-Rhône-Alpes,AR,Écully
France,FR,Auvergne-Rhône-Alpes,AR,Épinouze
France,FR,Bourgogne-Franche-Comté,BF,Beaune
France,FR,Bourgogne-Franche-Comté,BF,Belfort
France,FR,Bourgogne-Franche-Comté,BF,Besançon
France,FR,Bourgogne-Franche-Comté,BF,Bourbon-Lancy
France,FR,Bourgogne-Franche-Comté,BF,Chalon-sur-Saône
France,FR,Bourgogne-Franche-Comté,BF,Charnay-lès-Mâcon
France,FR,Bourgogne-Franche-Comté,BF,Charny-Orée-de-Puisaye
France,FR,Bourgogne-Franche-Comté,BF,Chemaudin et Vaux
France,FR,Bourgogne-Franche-Comté,BF,Châtenoy-le-Royal
France,FR,Bourgogne-Franche-Comté,BF,Dijon
France,FR,Bourgogne-Franche-Comté,BF,Dommartin
France,FR,Bourgogne-Franche-Comté,BF,Dompierre-sur-Mont
France,FR,Bourgogne-Franche-Comté,BF,Hauteville-lès-Dijon
France,FR,Bourgogne-Franche-Comté,BF,Lons-le-Saunier
France,FR,Bourgogne-Franche-Comté,BF,Marsannay-la-Côte
France,FR,Bourgogne-Franche-Comté,BF,Monéteau
France,FR,Bourgogne-Franche-Comté,BF,Morteau
France,FR,Bourgogne-Franche-Comté,BF,Mâcon
France,FR,Bourgogne-Franche-Comté,BF,Nevers
France,FR,Bourgogne-Franche-Comté,BF,Noidans-lès-Vesoul
France,FR,Bourgogne-Franche-Comté,BF,Ouroux-en-Morvan
France,FR,Bourgogne-Franche-Comté,BF,Paray-le-Monial
France,FR,Bourgogne-Franche-Comté,BF,Pirey
France,FR,Bourgogne-Franche-Comté,BF,Pontarlier
France,FR,Bourgogne-Franche-Comté,BF,Saint-Apollinaire
France,FR,Bourgogne-Franche-Comté,BF,Saint-Claude
France,FR,Bourgogne-Franche-Comté,BF,Saint-Désert
France,FR,Bourgogne-Franche-Comté,BF,Sens
France,FR,Bourgogne-Franche-Comté,BF,Serre-les-Sapins
France,FR,Bourgogne-Franche-Comté,BF,Sombernon
France,FR,Bourgogne-Franche-Comté,BF,Vercel-Villedieu-le-Camp
France,FR,Bourgogne-Franche-Comté,BF,Vieux-Charmont
France,FR,Bretagne,BR,Binic-Étables-sur-Mer
France,FR,Bretagne,BR,Brest
France,FR,Bretagne,BR,Caudan
France,FR,Bretagne,BR,Cesson-Sévigné
France,FR,Bretagne,BR,Etrelles
France,FR,Bretagne,BR,Fougères
France,FR,Bretagne,BR,Landerneau
France,FR,Bretagne,BR,Lannion
France,FR,Bretagne,BR,Lorient
France,FR,Bretagne,BR,Noyal-Châtillon-sur-Seiche
France,FR,Bretagne,BR,Pommeret
France,FR,Bretagne,BR,Redon
France,FR,Bretagne,BR,Rennes
France,FR,Bretagne,BR,Saint Grégoire
France,FR,Bretagne,BR,Saint-Avé
France,FR,Bretagne,BR,Saint-Brieuc
France,FR,Bretagne,BR,Saint-Malo
France,FR,Bretagne,BR,Sainte-Marie
France,FR,Bretagne,BR,Sarzeau
France,FR,Bretagne,BR,Vannes
France,FR,Corse,CO,Ajaccio
France,FR,Corse,CO,Bastia
France,FR,Corse,CO,Biguglia
France,FR,Corse,CO,Ville-di-Pietrabugno
France,FR,Centre-Val de Loire,CV,Blois
France,FR,Centre-Val de Loire,CV,Bourges
France,FR,Centre-Val de Loire,CV,Celle
France,FR,Centre-Val de Loire,CV,Cepoy
France,FR,Centre-Val de Loire,CV,Chambourg-sur-Indre
France,FR,Centre-Val de Loire,CV,Courville-sur-Eure
France,FR,Centre-Val de Loire,CV,Joué-lès-Tours
France,FR,Centre-Val de Loire,CV,La Chapelle-Saint-Mesmin
France,FR,Centre-Val de Loire,CV,Luzillé
France,FR,Centre-Val de Loire,CV,Montargis
France,FR,Centre-Val de Loire,CV,Orléans
France,FR,Centre-Val de Loire,CV,Saint-Avertin
France,FR,Centre-Val de Loire,CV,Saint-Cyr-sur-Loire
France,FR,Centre-Val de Loire,CV,Saran
France,FR,Centre-Val de Loire,CV,Tours
France,FR,Centre-Val de Loire,CV,Villemandeur
France,FR,Grand Est,GE,Bartenheim
France,FR,Grand Est,GE,Bernolsheim
France,FR,Grand Est,GE,Bitche
France,FR,Grand Est,GE,Bosselshausen
France,FR,Grand Est,GE,Bréviandes
France,FR,Grand Est,GE,Cernay
France,FR,Grand Est,GE,Charleville-Mézières
France,FR,Grand Est,GE,Chavot-Courcourt
France,FR,Grand Est,GE,Châtenois
France,FR,Grand Est,GE,Cormontreuil
France,FR,Grand Est,GE,Cornimont
France,FR,Grand Est,GE,Custines
France,FR,Grand Est,GE,Dietwiller
France,FR,Grand Est,GE,Entzheim
France,FR,Grand Est,GE,Epinal
France,FR,Grand Est,GE,Eschau
France,FR,Grand Est,GE,Foulain
France,FR,Grand Est,GE,Frouard
France,FR,Grand Est,GE,Geispolsheim
France,FR,Grand Est,GE,Gerstheim
France,FR,Grand Est,GE,Heidwiller
France,FR,Grand Est,GE,Horbourg-Wihr
France,FR,Grand Est,GE,Huningue
France,FR,Grand Est,GE,Hœnheim
France,FR,Grand Est,GE,Illzach
France,FR,Grand Est,GE,La Chapelle-Saint-Luc
France,FR,Grand Est,GE,Louargat
France,FR,Grand Est,GE,Ludres
France,FR,Grand Est,GE,Marange-Silvange
France,FR,Grand Est,GE,Marly
France,FR,Grand Est,GE,Metz
France,FR,Grand Est,GE,Meyenheim
France,FR,Grand Est,GE,Mundolsheim
France,FR,Grand Est,GE,Muttersholtz
France,FR,Grand Est,GE,Nancy
France,FR,Grand Est,GE,Neufchâteau
France,FR,Grand Est,GE,Obermodern-Zutzendorf
France,FR,Grand Est,GE,Reims
France,FR,Grand Est,GE,Rœschwoog
France,FR,Grand Est,GE,Saint-Dizier
France,FR,Grand Est,GE,Saint-Léonard
France,FR,Grand Est,GE,Saint-Martin-sur-le-Pré
France,FR,Grand Est,GE,Sausheim
France,FR,Grand Est,GE,Schiltigheim
France,FR,Grand Est,GE,Strasbourg
France,FR,Grand Est,GE,Sundhoffen
France,FR,Grand Est,GE,Thaon-les-Vosges
France,FR,Grand Est,GE,Toul
France,FR,Grand Est,GE,Troyes
France,FR,Grand Est,GE,Vandoeuvre les Nancy
France,FR,Grand Est,GE,Verdun
France,FR,Grand Est,GE,Wettolsheim
France,FR,Grand Est,GE,Wittenheim
France,FR,Hauts-de-France,HF,Amiens
France,FR,Hauts-de-France,HF,Anzin
France,FR,Hauts-de-France,HF,Beauvais
France,FR,Hauts-de-France,HF,Bersée
France,FR,Hauts-de-France,HF,Bethune
France,FR,Hauts-de-France,HF,Bondues
France,FR,Hauts-de-France,HF,Brillon
France,FR,Hauts-de-France,HF,Béthune
France,FR,Hauts-de-France,HF,Calais
France,FR,Hauts-de-France,HF,Cambrai
France,FR,Hauts-de-France,HF,Carvin
France,FR,Hauts-de-France,HF,Caudry
France,FR,Hauts-de-France,HF,Courriéres
France,FR,Hauts-de-France,HF,Desvres
France,FR,Hauts-de-France,HF,Douai
France,FR,Hauts-de-France,HF,Dury
France,FR,Hauts-de-France,HF,Gauchy
France,FR,Hauts-de-France,HF,Hallennes-lez-haubourdin
France,FR,Hauts-de-France,HF,La Bassée
France,FR,Hauts-de-France,HF,La Madeleine
France,FR,Hauts-de-France,HF,Lens
France,FR,Hauts-de-France,HF,Lesquin
France,FR,Hauts-de-France,HF,Lezennes
France,FR,Hauts-de-France,HF,Lille
France,FR,Hauts-de-France,HF,Marcq-en-Barœul
France,FR,Hauts-de-France,HF,Marquette-lez-Lille
France,FR,Hauts-de-France,HF,Mesnil-en-Arrouaise
France,FR,Hauts-de-France,HF,Neufchâtel-Hardelot
France,FR,Hauts-de-France,HF,Nogent-sur-Oise
France,FR,Hauts-de-France,HF,Roubaix
France,FR,Hauts-de-France,HF,Saint Nicolas
France,FR,Hauts-de-France,HF,Saint-Laurent-Blangy
France,FR,Hauts-de-France,HF,Saint-Martin-Boulogne
France,FR,Hauts-de-France,HF,Saint-Quentin
France,FR,Hauts-de-France,HF,Saint-Saulve
France,FR,Hauts-de-France,HF,Soissons
France,FR,Hauts-de-France,HF,Somain
France,FR,Hauts-de-France,HF,Templemars
France,FR,Hauts-de-France,HF,Tourcoing
France,FR,Hauts-de-France,HF,Valenciennes
France,FR,Hauts-de-France,HF,Villeneuve-Saint-Germain
France,FR,Hauts-de-France,HF,Villeneuve-d-Ascq
France,FR,Hauts-de-France,HF,Villiers saint denis
France,FR,Hauts-de-France,HF,Wambrechies
France,FR,Hauts-de-France,HF,Wasquehal
France,FR,Île-de-France,IF,Alfortville
France,FR,Île-de-France,IF,Argenteuil
France,FR,Île-de-France,IF,Asnières-sur-Seine
France,FR,Île-de-France,IF,Avon
France,FR,Île-de-France,IF,Bagnolet
France,FR,Île-de-France,IF,Bezons
France,FR,Île-de-France,IF,Bièvres
France,FR,Île-de-France,IF,Bois-Colombes
France,FR,Île-de-France,IF,Boulogne-Billancourt
France,FR,Île-de-France,IF,Bussy-Saint-Georges
France,FR,Île-de-France,IF,Carrières-sur-Seine
France,FR,Île-de-France,IF,Cergy
France,FR,Île-de-France,IF,Champlan
France,FR,Île-de-France,IF,Chatou
France,FR,Île-de-France,IF,Chevilly-Larue
France,FR,Île-de-France,IF,Choisy-le-Roi
France,FR,Île-de-France,IF,Clamart
France,FR,Île-de-France,IF,Clichy
France,FR,Île-de-France,IF,Collégien
France,FR,Île-de-France,IF,Coulommiers
France,FR,Île-de-France,IF,Courbevoie
France,FR,Île-de-France,IF,Courdimanche
France,FR,Île-de-France,IF,Crosne
France,FR,Île-de-France,IF,Créteil
France,FR,Île-de-France,IF,Epinay sur Orge
France,FR,Île-de-France,IF,Evry-Courcouronnes
France,FR,Île-de-France,IF,Fontainebleau
France,FR,Île-de-France,IF,Fontenay-sous-Bois
France,FR,Île-de-France,IF,Gournay-sur-Marne
France,FR,Île-de-France,IF,Goussainville
France,FR,Île-de-France,IF,Guyancourt
France,FR,Île-de-France,IF,Issy-les-Moulineaux
France,FR,Île-de-France,IF,Ivry-sur-Seine
France,FR,Île-de-France,IF,Joinville-le-Pont
France,FR,Île-de-France,IF,Jouy-en-Josas
France,FR,Île-de-France,IF,La Garenne-Colombes
France,FR,Île-de-France,IF,Le Coudray-Montceaux
France,FR,Île-de-France,IF,Les Essarts-le-Roi
France,FR,Île-de-France,IF,Levallois-Perret
France,FR,Île-de-France,IF,Lognes
France,FR,Île-de-France,IF,Longjumeau
France,FR,Île-de-France,IF,Malakoff
France,FR,Île-de-France,IF,Melun
France,FR,Île-de-France,IF,Mennecy
France,FR,Île-de-France,IF,Milly-la-Forêt
France,FR,Île-de-France,IF,Montigny-le-Bretonneux
France,FR,Île-de-France,IF,Montreuil
France,FR,Île-de-France,IF,Montrouge
France,FR,Île-de-France,IF,Nanterre
France,FR,Île-de-France,IF,Neuilly-Plaisance
France,FR,Île-de-France,IF,Neuilly-sur-Seine
France,FR,Île-de-France,IF,Noisy-le-Grand
France,FR,Île-de-France,IF,Pantin
France,FR,Île-de-France,IF,Paris
France,FR,Île-de-France,IF,Plaisir
France,FR,Île-de-France,IF,Roissy-en-France
France,FR,Île-de-France,IF,Rosny-sous-Bois
France,FR,Île-de-France,IF,Rueil-Malmaison
France,FR,Île-de-France,IF,Saint-Cloud
France,FR,Île-de-France,IF,Saint-Ouen
France,FR,Île-de-France,IF,Saint-Ouen-l-Aumône
France,FR,Île-de-France,IF,Saint-Pierre-du-Perray
France,FR,Île-de-France,IF,Sannois
France,FR,Île-de-France,IF,Sarcelles
France,FR,Île-de-France,IF,Sartrouville
France,FR,Île-de-France,IF,Seugy
France,FR,Île-de-France,IF,Sucy-en-Brie
France,FR,Île-de-France,IF,Suresnes
France,FR,Île-de-France,IF,Sèvres
France,FR,Île-de-France,IF,Trappes
France,FR,Île-de-France,IF,Tremblay-en-France
France,FR,Île-de-France,IF,Vanves
France,FR,Île-de-France,IF,Versailles
France,FR,Île-de-France,IF,Vigny
France,FR,Île-de-France,IF,Villemomble
France,FR,Île-de-France,IF,Villiers-Saint-Frédéric
France,FR,Île-de-France,IF,Villiers-sur-Marne
France,FR,Île-de-France,IF,Viroflay
France,FR,Île-de-France,IF,Viry-Châtillon
France,FR,Île-de-France,IF,Voisins-le-Bretonneux
France,FR,Nouvelle-Aquitaine,NA,Allassac
France,FR,Nouvelle-Aquitaine,NA,Anglet
France,FR,Nouvelle-Aquitaine,NA,Bayonne
France,FR,Nouvelle-Aquitaine,NA,Bon-Encontre
France,FR,Nouvelle-Aquitaine,NA,Bordeaux
France,FR,Nouvelle-Aquitaine,NA,Brive-la-Gaillarde
France,FR,Nouvelle-Aquitaine,NA,Bruges
France,FR,Nouvelle-Aquitaine,NA,Bègles
France,FR,Nouvelle-Aquitaine,NA,Canéjan
France,FR,Nouvelle-Aquitaine,NA,Chasseneuil-du-Poitou
France,FR,Nouvelle-Aquitaine,NA,Châteaubernard
France,FR,Nouvelle-Aquitaine,NA,Coulounieix-Chamiers
France,FR,Nouvelle-Aquitaine,NA,Créon
France,FR,Nouvelle-Aquitaine,NA,Gradignan
France,FR,Nouvelle-Aquitaine,NA,Jaunay-Clan
France,FR,Nouvelle-Aquitaine,NA,Jaunay-Marigny
France,FR,Nouvelle-Aquitaine,NA,La Rochelle
France,FR,Nouvelle-Aquitaine,NA,La Teste-de-Buch
France,FR,Nouvelle-Aquitaine,NA,Lahonce
France,FR,Nouvelle-Aquitaine,NA,Le Haillan
France,FR,Nouvelle-Aquitaine,NA,Limoges
France,FR,Nouvelle-Aquitaine,NA,Malemort-sur-Corrèze
France,FR,Nouvelle-Aquitaine,NA,Mérignac
France,FR,Nouvelle-Aquitaine,NA,Niort
France,FR,Nouvelle-Aquitaine,NA,Pau
France,FR,Nouvelle-Aquitaine,NA,Poitiers
France,FR,Nouvelle-Aquitaine,NA,Royan
France,FR,Nouvelle-Aquitaine,NA,Saint-Benoît
France,FR,Nouvelle-Aquitaine,NA,Saujon
France,FR,Nouvelle-Aquitaine,NA,Talence
France,FR,Nouvelle-Aquitaine,NA,Thouars
France,FR,Nouvelle-Aquitaine,NA,Vouillé
France,FR,Normandie,NO,Alençon
France,FR,Normandie,NO,Avranches
France,FR,Normandie,NO,Aytré
France,FR,Normandie,NO,Biéville-Beuville
France,FR,Normandie,NO,Caen
France,FR,Normandie,NO,Cherbourg-en-Cotentin
France,FR,Normandie,NO,Eslettes
France,FR,Normandie,NO,Harfleur
France,FR,Normandie,NO,Hérouville-Saint-Clair
France,FR,Normandie,NO,Isneauville
France,FR,Normandie,NO,Le Havre
France,FR,Normandie,NO,Louvigny
France,FR,Normandie,NO,Marcilly sur Eure
France,FR,Normandie,NO,Mont-Saint-Aignan
France,FR,Normandie,NO,Pont-Audemer
France,FR,Normandie,NO,Prey
France,FR,Normandie,NO,Rouen
France,FR,Normandie,NO,Saint-Jean-du-Cardonnay
France,FR,Normandie,NO,Saint-Lô
France,FR,Normandie,NO,Saint-Mars-d'Égrenne
France,FR,Normandie,NO,Sainte-Marie-des-Champs
France,FR,Normandie,NO,Vironvay
France,FR,Normandie,NO,Évreux
France,FR,Occitanie,OC,Albi
France,FR,Occitanie,OC,Alès
France,FR,Occitanie,OC,Alénya
France,FR,Occitanie,OC,Auch
France,FR,Occitanie,OC,Baillargues
France,FR,Occitanie,OC,Bessan
France,FR,Occitanie,OC,Béziers
France,FR,Occitanie,OC,Cadours
France,FR,Occitanie,OC,Carcassonne
France,FR,Occitanie,OC,Castres
France,FR,Occitanie,OC,Colomiers
France,FR,Occitanie,OC,Estagel
France,FR,Occitanie,OC,Labège
France,FR,Occitanie,OC,Laudun-l'Ardoise
